,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food
4226,66387.0,8.165817468886578e-82,0.060514372163388806,0.03177004538577912,0.9077155824508321
4227,66388.0,1.7992017823113427e-81,1.7992017823113427e-81,1.7992017823113427e-81,1.0
4228,66389.0,1.4019754147880592e-81,0.38961038961038963,1.4019754147880592e-81,0.6103896103896104
4229,66390.0,9.813827903516414e-82,9.813827903516414e-82,9.813827903516414e-82,1.0
4230,66391.0,9.9586814519078e-82,0.36900369003690037,9.9586814519078e-82,0.6309963099630996
4231,66392.0,0.17133706965572457,0.10248198558847077,4.3215415107558267e-82,0.7261809447558046
4232,66393.0,0.025974025974025976,0.21645021645021645,1.168312845656716e-81,0.7575757575757576
4233,66394.0,0.1272294887039239,0.2544589774078478,3.209040039794309e-82,0.6183115338882283
4234,66395.0,1.1245011139445891e-81,0.08333333333333333,0.08333333333333333,0.8333333333333334
4235,66396.0,0.05717916137229987,0.12706480304955528,6.858456603473987e-82,0.8157560355781448
4236,66397.0,8.996008911556714e-82,8.996008911556714e-82,8.996008911556714e-82,1.0
4237,66398.0,2.698802673467014e-81,2.698802673467014e-81,2.698802673467014e-81,1.0
4238,66399.0,0.05063291139240506,0.06329113924050633,6.832411831562061e-82,0.8860759493670887
4239,66400.0,0.03888888888888889,0.09259259259259259,0.037037037037037035,0.8314814814814815
4240,66401.0,0.06818181818181818,0.06818181818181818,1.2267284879395517e-81,0.8636363636363635
4241,66402.0,0.2,0.2,0.2,0.4
4242,66403.0,1.1994678548742284e-81,1.1994678548742284e-81,1.1994678548742284e-81,1.0
4243,66404.0,6.350123937569444e-82,0.29411764705882354,6.350123937569444e-82,0.7058823529411765
4244,66405.0,2.698802673467014e-81,2.698802673467014e-81,2.698802673467014e-81,1.0
4245,66406.0,8.996008911556714e-82,0.16666666666666666,8.996008911556714e-82,0.8333333333333333
4246,66407.0,9.813827903516414e-82,0.09090909090909091,9.813827903516414e-82,0.9090909090909091
4247,66408.0,4.9977827286426186e-82,0.046296296296296294,0.027777777777777776,0.9259259259259259
4248,66409.0,5.021028229706073e-82,0.06976744186046512,5.021028229706073e-82,0.9302325581395349
4249,66410.0,1.0222737399496265e-81,0.1893939393939394,1.0222737399496265e-81,0.8106060606060606
4250,66411.0,0.05592841163310962,0.23937360178970918,0.03355704697986577,0.6711409395973155
4251,66412.0,0.17089452603471295,7.206415683490024e-82,7.206415683490024e-82,0.829105473965287
4252,66413.0,2.698130838888131e-85,0.4998750311172518,0.4998750311172518,0.0002499377654963914
4253,66414.0,7.710864781334326e-82,0.14285714285714285,7.710864781334326e-82,0.8571428571428571
4254,66415.0,,,,
4255,66416.0,0.14678899082568808,1.2379828777371624e-81,0.06880733944954129,0.7844036697247706
4256,66417.0,5.997339274371142e-82,0.16666666666666666,0.05555555555555555,0.7777777777777778
4257,66418.0,1.450969179283341e-81,0.08064516129032258,1.450969179283341e-81,0.9193548387096774
4258,66419.0,1.9277161953335813e-81,0.17857142857142858,0.10714285714285714,0.7142857142857143
4259,66420.0,0.06533101045296168,0.37325783972125437,0.03266550522648084,0.5287456445993031
4260,66421.0,1.542172956266865e-81,0.14285714285714285,1.542172956266865e-81,0.8571428571428571
4261,66422.0,5.170120064113053e-82,0.2049808429118774,0.028735632183908046,0.7662835249042146
4262,66423.0,3.855432390667163e-82,3.855432390667163e-82,3.855432390667163e-82,1.0
4263,66424.0,0.07633587786259542,0.04580152671755725,4.120309425140479e-82,0.8778625954198473
4264,66425.0,1.4355333369505393e-81,0.45478723404255317,1.4355333369505393e-81,0.5452127659574468
4265,66426.0,1.0281153041779101e-81,0.19047619047619047,1.0281153041779101e-81,0.8095238095238095
